R1,R2,R3,R4,barrier
H,H,H,NH2,26.949371341000003
Cl,Cl,H,NH2,26.951253850000004
H,Cl,H,NHMe,26.980746491
Me,Br,Br,NHMe,27.079891965
H,Cl,H,NH2,27.102482073
Br,Cl,H,NHPh,27.102482073
Br,Me,Br,NHMe,27.105619588
Me,H,Me,Me,27.121307163000004
H,Cl,Me,OMe,27.149544798
Cl,Br,H,NHPh,27.174644918
Br,H,Me,Me,27.186567475000004
H,Ph,Br,NHMe,27.190332493000003
Cl,Cl,Cl,NHMe,27.198490032
Ph,Ph,H,Ph,27.20225505
H,Me,Me,OMe,27.206020068
Ph,Cl,Ph,H,27.206647571
H,Me,Ph,NH2,27.214177607
Ph,Cl,Cl,Ph,27.218570128
Ph,Me,Cl,Me,27.255592805000003
Ph,H,Cl,NMe2,27.279437919
Ph,Br,Ph,Me,27.292615482
Cl,Ph,Br,OMe,27.293870488000003
Br,Ph,Br,OMe,27.339678207
Ph,H,H,NMe2,27.350345758000003
H,Ph,H,NH2,27.354110776
Ph,Br,Cl,OMe,27.361640812
Ph,H,Br,NMe2,27.37168086
Br,Br,Cl,Me,27.381720908
Br,H,Ph,NHMe,27.39615347700001
Br,Cl,Br,Ph,27.427528627
Ph,Me,Cl,OMe,27.430666142000003
H,Ph,Cl,NHMe,27.433176154
H,Br,Br,NMe2,27.444471208
Ph,Cl,H,Me,27.445098711
H,Cl,Me,Ph,27.492161436
Me,Me,Ph,NHPh,27.506594005
Cl,Br,Cl,Ph,27.508476514
H,Br,Ph,NHMe,27.509104017
Cl,Br,Br,Ph,27.513496538000005
Me,Ph,H,Ph,27.534831640000004
Ph,H,Cl,NHMe,27.544244185000004
Ph,Br,Br,OMe,27.555539239
Me,Br,Me,Ph,27.593816922
Me,Ph,H,Me,27.596326934000004
Cl,H,Ph,NHMe,27.600719455000004
Ph,Br,Ph,H,27.601974461
Me,H,Me,OMe,27.60385697
H,Cl,Ph,NMe2,27.610132
Me,Cl,Me,OMe,27.649664689
Me,H,Ph,NH2,27.68543236
Br,Br,Br,Me,27.704257450000004
Ph,Ph,Br,H,27.715552504
Cl,H,H,NHPh,27.748810163000005
Ph,Cl,Br,NHPh,27.750065169000003
Me,Br,Me,OMe,27.775165289
Me,Cl,Br,NH2,27.796500391
Me,Br,Ph,NH2,27.815325481
Ph,Me,H,OMe,27.834778074000003
Ph,Cl,Cl,NHPh,27.884978314
Ph,Br,H,Me,27.892508350000004
H,Br,Ph,NMe2,27.894390859
Cl,Br,Me,OMe,27.930786033000004
Ph,H,Me,Me,27.935178554000004
Ph,Cl,Br,NH2,27.940198578000004
Me,Cl,Ph,NHMe,27.950238626
Me,Ph,Br,NHPh,27.953376141000003
H,Br,Me,Ph,27.95525865
Ph,H,Ph,NH2,27.970318722
Cl,Me,Me,Me,27.986006297000003
Cl,Ph,Cl,OMe,28.000438866000003
Cl,Cl,Me,OMe,28.009851411000003
Ph,Cl,Cl,Me,28.012988926
Ph,H,Ph,NMe2,28.026793992
Br,Ph,Me,H,28.056286633000003
Me,Cl,Br,NHPh,28.060679154
Me,Ph,Me,Me,28.078249238
Ph,H,Ph,NHMe,28.085151771
Me,Cl,Ph,NH2,28.091426801000004
Ph,Cl,Cl,NH2,28.105859370000005
Ph,Br,Ph,OMe,28.113389406000003
H,Cl,Ph,Ph,28.127821975
H,Cl,Ph,NH2,28.150412083
Br,Ph,Cl,OMe,28.164217149
Br,Cl,H,NH2,28.16860967
Me,Ph,Br,NH2,28.188689766
Ph,Br,Br,Ph,28.211279874
Me,Me,Br,NHMe,28.215044892
Ph,Br,Ph,Ph,28.215672395
Cl,Ph,Me,H,28.258970102
Cl,Me,Ph,NHPh,28.302267809
Br,Br,Cl,Ph,28.307287833
Ph,Br,Cl,NHPh,28.316072875
Cl,Ph,Cl,NHPh,28.31921039000001
Cl,Cl,H,NHMe,28.334270462000003
Br,Me,Ph,NHPh,28.336152971000004
Br,Br,Cl,NHMe,28.352468049
Ph,Cl,Br,Me,28.365645612
Br,Br,Br,Ph,28.413963343
H,Br,H,NHMe,28.425258397
Br,H,H,NH2,28.429023415
Cl,Ph,H,NH2,28.434043439
Br,Br,H,NHPh,28.466046092000003
Cl,H,Ph,NMe2,28.472948625
Me,Me,Ph,Ph,28.481106164
Me,Cl,Cl,NHPh,28.482988673
Ph,Me,Cl,Ph,28.484871182
Me,Me,H,NHMe,28.495538733000004
Me,Ph,Cl,NH2,28.501186260000004
Me,Cl,H,NHPh,28.503068769
Ph,Br,Br,NHPh,28.512481314
Ph,Cl,H,OMe,28.528168889000003
H,Br,Ph,Ph,28.54511147
Me,Ph,Cl,NHPh,28.549503991000005
Ph,Cl,Ph,NHPh,28.572094099
Ph,Br,Cl,NH2,28.577114123
Me,Br,H,NHPh,28.582134147
Me,Cl,Ph,Me,28.626686860000003
H,Me,Ph,NHMe,28.630451878
Br,Ph,Br,Ph,28.693829681
Br,H,H,NHPh,28.702614723
Ph,H,Me,OMe,28.705752238
Me,Ph,H,NHPh,28.709517256
H,Me,H,NMe2,28.724577328
Br,Me,H,NH2,28.775405071
H,Me,H,NHPh,28.782935107000004
Me,H,Ph,NHMe,28.785445119
H,Ph,Ph,NHMe,28.796740173000003
Me,Br,Ph,Me,28.796740173000003
Cl,Cl,Br,NH2,28.800505191000003
Cl,Br,H,NHMe,28.804270209
H,H,H,NHMe,28.853842946000004
Cl,Cl,Ph,Me,28.870785527
H,Cl,Ph,NHPh,28.870785527
Br,Ph,H,Me,28.871413030000003
Ph,Ph,Cl,H,28.913455731000003
Ph,Br,Br,NH2,28.924123282000004
H,H,Me,NHPh,28.926005791
Cl,Ph,H,Me,28.930398312
Cl,Me,H,NH2,28.972441013
Ph,Cl,Ph,OMe,28.988756091000003
Ph,Me,Br,Me,29.002561157
Ph,Cl,Me,H,29.002561157
Ph,Me,Cl,NHPh,29.002561157
Me,Me,Me,OMe,29.006326175
Cl,Ph,Br,Ph,29.008208684
Me,Br,Cl,NHPh,29.022013750000003
Br,H,Cl,NMe2,29.054643906000003
H,Ph,Me,Ph,29.064683954
Cl,Ph,Cl,Ph,29.067821469000005
Br,Cl,Me,OMe,29.072213990000005
Ph,Br,H,NMe2,29.076606511000005
Br,Br,Me,OMe,29.084764050000004
Ph,Br,Ph,NHPh,29.112374182
Me,H,H,NHPh,29.134964290000003
Cl,Me,Me,OMe,29.139984314000003
H,Ph,Me,Me,29.150024362000003
Cl,Cl,Br,NHPh,29.156299392
Ph,Me,Br,Ph,29.156299392
Me,Br,H,NH2,29.161319416
Ph,Me,Me,H,29.169476955
Cl,Me,H,NMe2,29.169476955
Me,Me,Ph,NH2,29.191439560000003
Ph,Br,Me,H,29.196459584000003
Me,Cl,H,NH2,29.217167183
Ph,Me,Br,NHPh,29.220932201
Br,Br,H,NHMe,29.237247279000005
Ph,Cl,Br,NHMe,29.241012297000005
H,Ph,H,NMe2,29.246032321000005
Br,H,H,NHMe,29.259209884000004
Me,Me,H,NMe2,29.264229908
Me,H,Br,NMe2,29.284937507
Me,Ph,Me,Ph,29.286820016
H,Me,Br,NMe2,29.328862717000003
Ph,Cl,Ph,NH2,29.332627735000003
Br,Me,Me,Ph,29.343922789
Ph,Me,Br,NH2,29.352080328
Me,Cl,H,NHMe,29.353962837
Cl,Me,Ph,NH2,29.370905418000003
Cl,Cl,Br,NMe2,29.379062957
Cl,Ph,H,NMe2,29.396005538
Br,Me,H,NMe2,29.414830628000004
H,Me,Cl,NMe2,29.455618323
Me,H,H,NH2,29.481345946000005
Br,Me,Ph,NH2,29.481973449
Cl,Br,Ph,Me,29.489503485000004
Br,Ph,Cl,Ph,29.527781168
Ph,Br,Ph,NH2,29.532801192000004
Ph,Cl,Cl,NHMe,29.566686354
Ph,Ph,Br,Ph,29.58613894700001
Ph,Me,Cl,NH2,29.620651612000003
Me,Ph,Br,NHMe,29.628809151
Ph,Ph,H,H,29.628809151
Cl,Br,Br,NMe2,29.633829175
Br,Ph,Cl,NH2,29.654536774000004
Cl,Cl,Cl,NMe2,29.66206681
H,Br,Me,NHPh,29.665204325
Me,Br,Me,NHPh,29.689049439
Cl,Me,Ph,Ph,29.689676942
Cl,Ph,Cl,NH2,29.734229655
H,Ph,H,NHPh,29.765604805
H,H,Me,NH2,29.772507338000004
Cl,H,H,NHMe,29.778154865
Me,Ph,Me,H,29.794469943000003
Br,Cl,Br,NH2,29.795097446000003
Cl,Cl,Ph,Ph,29.796979955
Cl,Ph,H,OMe,29.798862464000003
Ph,Cl,H,NHPh,29.819570063000004
Cl,Ph,Br,NH2,29.834002632000004
Ph,Br,Cl,NHMe,29.840277662
H,Cl,Me,NHPh,29.867887794
Me,Br,Me,NH2,29.903027962000003
Me,Cl,Me,NHPh,29.90679298
Cl,Br,Cl,NMe2,29.909930495
Ph,Cl,Br,Ph,29.912440507000003
Ph,Br,Br,Me,29.948835681
Me,Cl,Br,NMe2,29.958875729000003
Me,Me,Me,Ph,29.968915777000003
Br,Cl,Br,NMe2,29.991505885
Ph,Me,H,NH2,30.002173436000003
Ph,Ph,Cl,Ph,30.036686101
Me,H,Cl,NMe2,30.041706125
Cl,Ph,Ph,Me,30.061786221
Me,Br,Br,NMe2,30.083121323
Br,Cl,H,NHMe,30.108848946
Me,Cl,Me,Me,30.120144000000003
Me,Ph,Cl,NHMe,30.120771503000004
Cl,Br,Br,NHPh,30.137714084
H,Ph,Br,NMe2,30.147754132000003
Ph,H,Me,NH2,30.150264144
Br,Ph,H,NMe2,30.163441707000004
Me,Cl,Cl,NHMe,30.165324216
Ph,Ph,Cl,Me,30.17034424
Br,Cl,Ph,Me,30.186659318000004
H,H,Ph,NMe2,30.210504432
Cl,H,Me,NHPh,30.256939654
